,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,187_HBC_mid_3,187_HBC_nVEC_1,187_HBC_nVEC_2,187_HBC_mid_2,187_HBC_nTroph_3,187_HBC_nTroph_1,187_HBC_mid_1,187_HBC_nVEC_3,187_HBC_nTroph_2,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,187_STB_nVEC_1,187_STB_nVEC_2,187_STB_nVEC_3,187_STB_gen_1,187_STB_gen_2,187_STB_gen_3,187_CTB_1,187_CTB_2,187_CTB_3,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,187_CCT_1,187_CCT_2,187_CCT_3,187_VEC_1,187_VEC_2,187_VEC_3,187_str_1,187_str_2,187_str_3,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,108_STB_nVEC_1,108_STB_nVEC_2,108_STB_nVEC_3,108_STB_gen_1,108_STB_gen_2,108_STB_gen_3,108_CTB_1_1,108_CTB_2_1,108_CTB_3_1,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,108_HBC_nTroph_1,108_HBC_nTroph_2,108_HBC_nTroph_3,108_HBC_nVEC_1,108_HBC_nVEC_2,108_HBC_nVEC_3,108_HBC_mid_1,108_HBC_mid_2,108_HBC_mid_3,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,108_CCT_1,108_CCT_2,108_CCT_3,108_VEC_1,108_VEC_2,108_VEC_3,108_Str_1,108_Str_2,108_Str_3,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
